SNAME,SUBNATIONS_SRANKS
Asclepias verticillata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SH), FL(SNR), GA(SNR), GS(P1), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MA(S2), MD(S3), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SU), NC(S5), ND(SNR), NE(SNR), NJ(S2), NM(SNR), NY(S3), OH(SNR), OK(SNR), PA(S4), RI(S1), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S4), VT(S1), WI(SNR), WV(S3), WY(S1?), MB(S3), ON(S4), SK(S1)"
Asclepias viridiflora,"AL(SNR), AR(SNR), AZ(S1?), CO(SNR), CT(S1), DC(SNR), DE(S3), FL(S1), GA(S3?), IA(S3), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(S4S5), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S3S4), NC(S4), ND(SNR), NE(SNR), NJ(S3S4), NM(SNR), NY(S2), OH(S4), OK(SNR), PA(S4), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S3), WY(S3), AB(S1), BC(SNR), MB(S3), ON(S2), SK(S5?)"
Asimina triloba,"AL(SNR), AR(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P3?), IA(S2), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MD(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S5), NE(S4S5), NJ(S1), NY(S2), OH(SNR), OK(SNR), PA(S5), SC(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S5), ON(S3)"
Asplenium bradleyi,"AL(S2), AR(SNR), GA(S2), IL(S1), IN(S1), KY(S3S4), LA(SNR), MD(SH), MO(SNR), NC(S2), NJ(S1), NY(SH), OH(S2), OK(S1), PA(S1), SC(S1), TN(S2S3), TV(SNR), VA(S2), WV(SH)"
Asplenium montanum,"AL(SNR), CT(S2S3), GA(S5), GS(P3P4), IN(S1), KY(S4S5), MA(S1), MD(SNR), MI(SH), MO(SH), NC(S4), NJ(S2), NY(S2S3), OH(SNR), PA(SNR), RI(S1), SC(SNR), TN(SNR), VA(S5), VT(S1), WV(S4)"
Asplenium pinnatifidum,"AL(SNR), AR(S3), CT(SNR), DC(SNR), GA(S3), GS(P1), IL(S1), IN(SNR), KY(S4), MD(S1), MO(SNR), MS(S1), NC(S2), NJ(S1), OH(SNR), OK(S1), PA(S3), SC(S1), TN(SNR), TV(SNR), VA(S3), WI(S1), WV(S4)"
Asplenium platyneuron,"AL(SNR), AR(SNR), AZ(S1), CO(S1), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4P5), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(S2), MI(SNR), MN(S3), MO(SNR), MS(SNR), NC(S5), NE(S2), NH(SNR), NJ(SNR), NM(SNR), NY(S5), OK(SNR), PA(SNR), RI(S2), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), ON(S4), QC(S2)"
Asplenium platyneuron var. incisum,"AL(SNR), AR(SNR), CT(SNR), DE(SNR), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), NC(SNR), NY(SNR), PA(SNR), TN(SNR), VT(SNR), WV(SNR)"
Asplenium resiliens,"AL(SNR), AR(SNR), AZ(SNR), CO(S1), DE(SNR), FL(SNR), GA(S4?), GS(P1), IL(S1), IN(S1), KS(S2), KY(S4), LA(SX), MD(S1), MO(SNR), MS(S1), NC(S2), NM(SNR), NV(S1), OH(SH), OK(SNR), PA(S1), SC(S1), TN(SNR), TV(SNR), TX(SNR), UT(S1), VA(S4), WV(S3)"
Asplenium rhizophyllum,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SX), GA(S5), GS(P2), IA(S4), IL(S4S5), IN(SNR), KS(SNR), KY(S5), MA(SNR), MD(SNR), ME(SX), MI(S2S3), MN(SNR), MO(SNR), MS(S1S2), NC(S3), NH(S1), NJ(S4), NY(S4S5), OH(SNR), OK(SNR), PA(SNR), RI(S1), SC(S2), TN(SNR), TV(SNR), VA(S5), VT(S4), WI(SNR), WV(S5), ON(S4), QC(S3)"
Asplenium ruta-muraria,"AL(S1), AR(SU), CT(S2), GA(S1), GS(P1), IA(S1), IL(SH), IN(S2), KY(S4), MA(S2), MD(S3), MI(S1), MO(SNR), NC(S1), NJ(SNR), NY(S4), OH(S3), PA(SNR), RI(SNR), TN(SNR), TV(SNR), VA(S5), VT(S3S4), WV(S4), NB(S1), ON(S2), QC(S1)"
Asplenium ruta-muraria var. cryptolepis,"AL(SNR), AR(SU), CT(SNR), GA(S1), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), MI(SNR), MO(SNR), NC(S1), NJ(S2), NY(SNR), OH(SNR), PA(SNR), TN(SNR), VA(S5), VT(SNR), WV(S4), NB(S1), ON(SNR), QC(S1)"
Asplenium ruta-muraria var. lanceolum,"IN(SU), KY(SNR), MD(SNR), OH(SNR), PA(SNR), TN(SNR), WV(SNR)"
Asplenium trichomanes,"AK(S1), AL(S2S3), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S1.1), FL(SNR), GA(S5), GS(P3P4), HI(SNR), ID(S1), IL(S2), IN(SNR), KS(S3), KY(S4), LA(SX), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S2), MO(SNR), MS(S1), MT(SH), NC(S4), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(S2), SC(S2), SD(S3), TN(SNR), TV(SNR), TX(S1), UT(S1), VA(S5), VT(SNR), WA(SNR), WI(S3), WV(S5), WY(S1), AB(SNR), BC(SNR), NB(S2), NF(S1), NS(S2), ON(S5), QC(S3)"
Asplenium trichomanes ssp. quadrivalens,"CT(SNR), DE(SNR), IL(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), NH(SNR), NJ(S4), NY(S4?), OH(SNR), OR(SNR), PA(SNR), VA(SU), VT(SNR), WA(SNR), WI(SNR), WV(SNR), BC(S4), ON(SU), QC(S2?)"
Asplenium trichomanes ssp. trichomanes,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(S1), CO(SNR), CT(SNR), DE(S1), FL(SNR), GA(S5), HI(SNR), ID(SNR), IL(SNR), IN(SNR), KS(S2), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S4), NE(SNR), NH(SNR), NJ(S3S4), NM(SNR), NY(S4?), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR), AB(SNR), BC(S4S5), NB(S2), NF(S1), NS(S2), ON(SU), QC(S3?)"
Asplenium x ebenoides,"AL(S1), AR(S1), CT(SH), IL(S1), IN(SNA), KY(SNA), MA(SNA), MD(SNA), NC(SNA), NJ(SNA), NY(SNA), PA(S1S2), TV(SNR), VA(SNA), VT(SNA), WV(SH)"
Asplenium x gravesii,"AL(SNA), AR(S1), GA(SNA), IL(S1), KY(SNR), MD(SNA), MO(SNA), OH(SNA), PA(SNR), TN(SNA), VA(SNA), WV(SNR)"
Asplenium x trudellii,"AL(SNA), GA(S1), IL(S1), KY(SNR), MD(SNA), NC(S1), NJ(SNA), OH(SNA), PA(SNR), TN(SNA), VA(SNA), WV(SH)"
Asplenium x virginicum,"NC(SNA), NJ(SNA), PA(SNA), VA(SNA)"
Asplenium x wherryi,"GA(SNA), KY(SNR), NJ(SNA), PA(SNA), VA(SNA)"
Aster longifolius,"CT(SNR), FL(SNR), IN(SNR), MD(SNR), ME(SNR), MI(S3S4), MT(SNR), NY(SU), OH(SNR), PA(SNR), SC(SNR), WI(S1), ON(SNR), QC(SNR)"
Astragalus canadensis,"AL(S1), AR(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SX), GA(S1), GS(PNR), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S3), LA(S3), MD(S1), MI(S1S2), MN(SNR), MO(SNR), MS(S2), MT(S5), NC(S3?), ND(SNR), NE(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(S3S4), OH(S2), OK(SNR), OR(SNR), PA(S2), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(S2), VA(S4), VT(S2), WA(SNR), WI(SNR), WV(S4), WY(S3?), AB(S4), BC(SNR), MB(S5), NT(SNR), ON(S4), QC(S3), SK(S5)"
Astragalus canadensis var. canadensis,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), GA(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NJ(SX.1), NM(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(S1), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S2), AB(SNR), BC(S5), MB(S5), NT(SNR), ON(SNR), QC(S3), SK(S5)"
Astragalus neglectus,"IA(SNR), MI(S3), MN(S4), ND(S1), NY(S1), OH(S1), PA(S1), SD(SNR), VA(S2), WI(S1), WV(S1), MB(S1), ON(S3), SK(SNR)"
Athyrium filix-femina,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNR), FL(S4), GA(SNR), IA(S4), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S4), NC(SNR), ND(S3), NE(SNR), NH(SNR), NJ(SNR), NM(S5), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S2), AB(S5), BC(SNR), LB(S4S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(S2S3), ON(S5), PE(S5), QC(S5), SK(S3?), YT(S2S3)"
Athyrium filix-femina var. angustum,"CO(SNR), CT(SNR), DC(SNR), DE(S5), IA(SNR), IL(S5), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SD(SNR), TN(S2), TV(SNR), VT(SNR), WI(SNR), WV(S4), LB(S4S5), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S3?)"
Athyrium filix-femina var. asplenioides,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P4P5), IL(S2S3), IN(SNR), KS(S1), KY(SNR), LA(SNR), MA(S2?), MD(SNR), MO(SNR), MS(SNR), NC(S5), NJ(S4), NY(S3?), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WV(S5)"
Atriplex cristata,"AL(SNR), CT(SNR), DE(SNR), FL(SNR), GA(SNR), LA(SNR), MA(SNR), MD(S3), MS(SNR), NC(S3), NH(SNR), NJ(S4), NY(S3?), PA(SNR), RI(SNR), SC(SNR), TX(SNR), VA(SNR)"
Atriplex littoralis,"CT(SNR), IA(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), NH(SNR), NJ(SNR), PA(SX), RI(SNR), VT(SNR), WA(SNR), WI(SNR), BC(SNR), NB(SNA), NS(SNA), PE(SNA)"
Atriplex prostrata,"AL(SU), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNA), DE(SNA), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TX(SNR), UT(SNR), VA(S4?), VT(SU), WA(SNR), WI(SNR), WV(SH), WY(SU), AB(SNA), BC(SNA), MB(SNA), NB(S5), NS(S5), ON(S5), PE(S5), QC(S4S5), SK(S5?)"
Aureolaria flava,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S1), FL(SNR), GA(SNR), GS(P3?), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(S3), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S3), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S2), WI(SNR), WV(S4), ON(S2?)"
Aureolaria flava var. flava,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S1), FL(SNR), GA(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), PA(SNR), RI(S2), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), ON(SU)"
Aureolaria flava var. macrantha,"AL(SNR), AR(SNR), IL(SNR), IN(SNR), KY(SNR), LA(SNR), MD(SNR), MO(SNR), MS(SNR), NC(SNR), NY(S1?), OH(SNR), PA(SNR), TN(SNR), TX(SNR), WV(SH), ON(SU)"
Aureolaria laevigata,"AL(SNR), GA(SNR), GS(P3?), KY(S5), MD(SU), MS(SNR), NC(S3S4), OH(SNR), PA(SNR), SC(SNR), TN(SNR), VA(S5), WV(S5)"
Aureolaria pedicularia,"AL(SNR), CT(SNR), DC(SNR), DE(S1), FL(SNR), GA(S1?), IA(S1), IL(SNR), IN(SNR), KY(S3?), LA(SNR), MA(SNR), MD(SNR), ME(S3), MI(SNR), MN(S2), MO(SNR), MS(SNR), NC(S4), NH(SNR), NJ(SNR), NY(S4), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S4), VT(S1), WI(SNR), WV(S3), ON(S2?)"
Aureolaria pedicularia var. intercedens,"IN(SNR), MA(SNR), MD(SNR), MI(SNR), MN(S1S2), NC(S3), NH(S2), NJ(S4), NY(SNR), PA(SNR), VA(S4), WI(SNR), WV(S3)"
Aureolaria pedicularia var. pedicularia,"CT(SNR), DE(S1), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S2S3), NH(SNR), NJ(S4), NY(SNR), OH(S1), PA(SNR), RI(S2), SC(SNR), TN(SNR), VT(SNR), WI(SNR), WV(SH), ON(S2?)"
Aureolaria virginica,"AL(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), GS(P1), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), MI(SNR), MS(SNR), NC(S5), NH(S1), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(S2), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S1), WV(S5), ON(S1)"
Azolla caroliniana,"AL(SNR), AR(SH), CT(SNR), DC(S1), DE(SNA), FL(SNR), GA(S5), IL(S1), IN(S2), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNA), MI(SNR), MO(S1S3), MS(SNR), NC(S3), NE(SNR), NH(SNR), NJ(S2), NY(S2?), OH(SNR), OK(S2), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S4), WV(SNR), BC(SNA), ON(S1?)"
Baccharis halimifolia,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), LA(SNR), MA(SNR), MD(SNR), MS(SNR), NC(S5), NJ(S5), NY(S5), OK(SNR), PA(S3), RI(S2), SC(SNR), TX(SNR), VA(S5), NS(S1)"
Baptisia australis,"AL(S1), AR(SNR), CT(SNR), DC(S1), GA(S2S3), IA(SU), IL(SNR), IN(S2), KS(SNR), KY(S3), MA(SNR), MD(S2), MI(SNA), MO(SNR), NC(S2), NE(SNA), NH(SNR), NJ(SNR), NY(SNA), OH(S1), OK(SNR), PA(S2), SC(SU), TN(S3), TV(SNR), TX(SNR), VA(S3), VT(SNA), WV(S3), ON(SNA)"
Baptisia australis var. australis,"AL(SNR), CT(SNR), DC(SNR), GA(S1), IL(SNR), IN(S2), KY(S3?), MA(SNA), MD(SNR), NC(SNA), NH(SNR), NJ(SNA), NY(SNA), OH(SNR), PA(SNR), SC(SU), TN(SNR), TX(S2), VA(S3), VT(SNA), WV(S3)"
Baptisia tinctoria,"CT(SNR), DC(SNR), DE(S5), GA(SNR), GS(P3P4), IA(SH), IL(S1), IN(S3), KY(S1S2), MA(SNR), MD(SNR), ME(S1), MI(SNR), MN(SNA), NC(S4), NH(SNR), NJ(S5), NY(S4), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S5), VT(SH), WI(S1), WV(S4), ON(S2)"
Bartonia paniculata,"AL(SNR), AR(SNR), CT(SNR), DC(S1), DE(S2), FL(SNR), GA(S3S4), IL(S1), IN(S3), KY(S4), LA(SU), MA(SNR), MD(S3), ME(S1), MI(S2), MO(SNR), MS(SNR), NC(S2), NH(SNR), NJ(SNR), NY(S1), OH(S1), OK(S1), PA(S3), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S3), WI(S1), NB(S2S3), NF(S3S4), NS(S4S5), ON(S2)"
Bartonia paniculata ssp. iodandra,"MA(SNR), ME(S1), NH(SH), NJ(SNR), PA(SNR), RI(SNR), NB(S2S3), NF(S3S4), NS(S4S5)"
Bartonia paniculata ssp. paniculata,"AL(SNR), AR(S4), CT(SNR), DC(SNR), DE(S2), FL(SNR), GA(SNR), IL(SNR), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(S1), MI(SNR), MO(S1), MS(SNR), NC(S2S3), NH(S1), NJ(S4), NY(S1), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S3), WV(S1), ON(S2)"
Bartonia virginica,"AL(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S4), GS(P1P2), IL(SNR), IN(SNR), KY(S2), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S1), MO(S1), MS(SNR), NC(S4), NH(SNR), NJ(S5), NY(S4), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S5), VT(S2), WI(S4), WV(S4), NB(S1), NF(S1), NS(S3), ON(S2), QC(S1)"
Beckmannia syzigachne,"AK(SNR), AZ(S1), CA(SNR), CO(SNR), IA(S2), ID(SNR), IL(S1), KS(SNR), ME(SNR), MI(S2), MN(SNR), MO(SNR), MT(S4?), ND(SNR), NE(S3S5), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(SNR), SD(SNR), UT(SNR), WA(SNR), WI(SNR), WY(S4), AB(S5), BC(S4), MB(S5), NB(SNA), NS(SNA), NT(SNR), ON(S4), PE(SNA), QC(S2S3), SK(S5), YT(S5)"
Berberis canadensis,"AL(SH), GA(S1), IL(S1), IN(S1), KY(S1), MD(SH), MO(S2), NC(S2), OH(SNR), PA(SX), SC(SNR), TN(S2), TV(SNR), VA(S3S4), WV(S1)"
Betula alleghaniensis,"CT(SNR), GA(SNR), GS(P5), IA(S3), IL(S1), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(S5), MI(SNR), MN(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), PA(S5), RI(SNR), SC(S1), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), MB(SNR), NB(S5), NF(S3), NS(S5), ON(S5), PE(S5), QC(S4S5)"
Betula alleghaniensis var. alleghaniensis,"CT(SNR), DE(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(SNR), NH(SNR), NJ(S5), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), MB(SNR), NB(S5), NS(S5), ON(SNR), QC(SNR)"
Betula alleghaniensis var. macrolepis,"CT(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), NC(SNR), NH(SNR), NY(SNR), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VT(SNR), WI(SNR), WV(SNR), NB(S4S5), NS(SNR), QC(SNR)"
Betula lenta,"AL(SNR), CT(SNR), DE(S4), GA(SNR), GS(P5), KY(S5), MA(SNR), MD(SNR), ME(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WV(S5), ON(S1)"
Betula nigra,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(SNR), GS(P2), IA(S4), IL(S3?), IN(SNR), KS(S2), KY(S5), LA(SNR), MA(S3), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(S2), NJ(S5), NY(S3), OH(SNR), OK(SNR), PA(S5), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)"
Betula papyrifera,"AK(SNR), CO(S1), CT(SNR), GS(PNR), IA(S4), ID(SNR), IL(S2), IN(S3), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4), NC(SNR), ND(SNR), NE(S2S4), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OR(SNR), PA(S4), RI(SNR), SD(SNR), TN(S1), TV(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(S2S3), AB(S4), BC(SNR), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(SNR)"
Betula papyrifera var. cordifolia,"CT(SNR), GS(P1), IA(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S1), ND(SNR), NH(SNR), NJ(SNR), NY(S3), PA(SNR), TN(S1), TV(SNR), VA(S2), VT(SNR), WI(SNR), WV(S1), LB(S4S5), NB(S5), NF(S5), NS(S5), ON(S4?), PE(S2?), QC(S4S5)"
Betula papyrifera var. papyrifera,"AK(SNR), CO(SNR), CT(SNR), IA(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SU), MN(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S2), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SD(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S2), WY(SNR), AB(SNR), BC(S5), LB(S5), MB(SNR), NB(S5), NF(S5), NS(S5), ON(SNR), PE(S5), QC(SNR), SK(S5), YT(SNR)"
Betula populifolia,"CT(SNR), DE(S2), IL(SNA), IN(S1), MA(SNR), MD(S1?), ME(SNR), NC(SNA), NH(SNR), NJ(S5), NY(S5), OH(S3), PA(S5), RI(SNR), VA(S1), VT(SNR), WV(S3), NB(S5), NS(S5), ON(S5), PE(S5), QC(S4S5)"
Bidens aristosa,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), DC(SNA), DE(SNA), GA(SNR), IA(S2), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S5), NE(SNR), NJ(SNA), NY(SNR), OH(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SU), WI(SNR), WV(SNA), ON(SNA)"
Bidens bidentoides,"DE(SH), MD(S3.1), NJ(S2), NY(S3), PA(S1)"
Bidens bipinnata,"AL(SNR), AR(SNR), AZ(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P3), IA(SNA), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), MO(SNR), MS(SNR), NC(S5), NE(SNR), NJ(S5), NM(SNR), NY(S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), WV(S5), ON(SNA)"
Bidens cernua,"AK(SNR), AL(S1), AR(SNR), AZ(SNR), CA(SNR), CO(SNA), CT(SNR), DC(SNR), DE(S4), GA(S3?), GS(P2), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S3), AB(S5), BC(S5), MB(S5), NB(S5), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S2)"
Bidens comosa,"KY(SNR), MI(SNR), MN(SNR), MT(SU), ND(SNR), NJ(S3S4), PA(SNR), RI(SNA)"
Bidens connata,"CT(SNR), DC(SNR), DE(SU), GA(SNR), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5?), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(S1), SC(SNR), SD(SNR), TN(SNR), VA(S4?), VT(SNR), WI(SNR), WV(SH), BC(SNA), NB(S4?), NS(S4), ON(S4?), PE(S3)"
Bidens coronata,"AL(SNR), CT(SU), DE(S3), FL(SU), GA(SNR), IA(S4), IL(SNR), IN(SNR), KY(S5?), MA(SNR), MD(S2S3), MI(SNR), MN(SNR), MO(SNR), MS(SU), NC(S1), NE(SNR), NJ(S5), NY(S4), OH(SNR), PA(SNR), RI(S1), SC(SNR), SD(SNR), TN(SNR), VA(S4), WI(SNR), WV(SH), ON(S2)"
Bidens discoidea,"AL(SNR), AR(SNR), CT(SNR), DC(SH), DE(S4), FL(SNR), GA(SNR), IA(S3), IL(SNR), IN(SNR), KY(S5?), LA(SNR), MA(S4), MD(S4), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NH(S3), NJ(S4), NY(S4), OH(SNR), OK(SNR), PA(S3), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S4), VT(S2), WI(SNR), WV(S1), NB(S1), NS(SH), ON(S4), QC(S3)"
